iter	MultiClass
0	1.545474068
1	1.335102061
2	1.186772064
3	1.07150092
4	0.9778323757
5	0.9063336377
6	0.8452545576
7	0.7954547478
8	0.75104445
9	0.7142824292
10	0.6843503461
11	0.6598242457
12	0.630103516
13	0.6098969054
14	0.585952768
15	0.5655648674
16	0.5521278043
17	0.5390237549
18	0.5254172062
19	0.5124810473
20	0.5035128937
21	0.493178796
22	0.4852888103
23	0.476682994
24	0.4688658942
25	0.4634678719
26	0.4555395467
27	0.4477059593
28	0.4433976413
29	0.437739094
30	0.4318510993
31	0.4283673462
32	0.4238824372
33	0.4181322332
34	0.414367448
35	0.4101281334
36	0.4082251223
37	0.4055434176
38	0.4028251058
39	0.3992146682
40	0.3963416271
41	0.3913066864
42	0.3893018639
43	0.3861893057
44	0.3828968807
45	0.3805298418
46	0.3779196538
47	0.3751178917
48	0.371314954
49	0.3697276658
50	0.3679922132
51	0.3650037461
52	0.3623405269
53	0.3605941173
54	0.3569564085
55	0.3556398424
56	0.3533622472
57	0.3518700017
58	0.3498422557
59	0.3482266347
60	0.3454829159
61	0.3438916287
62	0.3427452474
63	0.3409705124
64	0.3393471118
65	0.3374708647
66	0.3353232281
67	0.3343157148
68	0.3333619609
69	0.3321569045
70	0.3306168558
71	0.3297859759
72	0.3279143859
73	0.3268134699
74	0.3261911229
75	0.3245529977
76	0.3228893838
77	0.3211630703
78	0.3206136821
79	0.3194731238
80	0.3188737019
81	0.3171808112
82	0.3161834501
83	0.3157866615
84	0.3148616872
85	0.3143036525
86	0.3136760193
87	0.3128625975
88	0.3122610653
89	0.3110943969
90	0.3103999452
91	0.3097006265
92	0.3086428145
93	0.3076377305
94	0.3073838057
95	0.3063769085
96	0.3057647306
97	0.3044721424
98	0.3038393166
99	0.3030170148
100	0.3023148544
101	0.3014695566
102	0.300847215
103	0.3001947037
104	0.2991868326
105	0.2984996268
106	0.2981207051
107	0.297556654
108	0.2968911278
109	0.2957937783
110	0.2952315206
111	0.2944543041
112	0.2938145235
113	0.2929714159
114	0.2925217424
115	0.2919403445
116	0.2912606019
117	0.2906065677
118	0.2903369064
119	0.2896966489
120	0.2892636373
121	0.2889597786
122	0.2878862868
123	0.287588178
124	0.2870651936
125	0.2866420005
126	0.2861335634
127	0.2853176464
128	0.2848758782
129	0.2841124049
130	0.2833748742
131	0.282626894
132	0.2818939314
133	0.2815198477
134	0.280921875
135	0.2804899643
136	0.2802975042
137	0.279943666
138	0.2796017958
139	0.2793246468
140	0.2786615987
141	0.2781728517
142	0.2776296862
143	0.2770350444
144	0.2768712842
145	0.2765327863
146	0.2759950308
147	0.2754994889
148	0.2749816643
149	0.2747781419
150	0.2742848594
151	0.2740336622
152	0.2736529626
153	0.2733276083
154	0.2728046528
155	0.2722630522
156	0.2720886518
157	0.2717766131
158	0.271418182
159	0.2711609148
160	0.2707805494
161	0.2705227737
162	0.269719348
163	0.2695205291
164	0.2692178027
165	0.2687678246
166	0.268325831
167	0.2677566151
168	0.2675761181
169	0.2673291638
170	0.2668433632
171	0.266591494
172	0.2663894352
173	0.2660410289
174	0.2655221683
175	0.2651696556
176	0.2647166322
177	0.2644528516
178	0.2639062557
179	0.2635048413
180	0.263363464
181	0.263279136
182	0.2630113695
183	0.2627042351
184	0.262572537
185	0.2623324282
186	0.2618692401
187	0.2612488783
188	0.2610640499
189	0.2606716865
190	0.2604240144
191	0.260194042
192	0.2600734912
193	0.2598827298
194	0.2595621386
195	0.2589126885
196	0.2586819482
197	0.2584506525
198	0.2582630017
199	0.2579374495
200	0.2576220928
201	0.2573295348
202	0.2568171475
203	0.2567150869
204	0.2564958945
205	0.2562674374
206	0.2560426704
207	0.2558311538
208	0.2557335488
209	0.2552537937
210	0.2548765656
211	0.2546411376
212	0.2542686691
213	0.2539632145
214	0.2537673658
215	0.2535550424
216	0.2532276858
217	0.2530032948
218	0.2525986941
219	0.2521178512
220	0.251957561
221	0.2517162954
222	0.2513502526
223	0.2512904579
224	0.2511230813
225	0.2509716292
226	0.2506982264
227	0.2505319756
228	0.2501871102
229	0.2499678702
230	0.2496628951
231	0.2494168205
232	0.2491264395
233	0.2487104601
234	0.2483758918
235	0.2481619574
236	0.2479256089
237	0.2476738076
238	0.2474289543
239	0.2472223539
240	0.2470845594
241	0.2469342087
242	0.2467491143
243	0.2464904127
244	0.2462714349
245	0.2459362395
246	0.245746086
247	0.2454438457
248	0.2452600768
249	0.2448688712
250	0.2446876174
251	0.2445673839
252	0.2444200138
253	0.2440603682
254	0.2437996944
255	0.2435383427
256	0.2432722289
257	0.2429525225
258	0.2427763999
259	0.2426340463
260	0.2422286182
261	0.2419252059
262	0.2416922051
263	0.2412096288
264	0.2409267743
265	0.240728004
266	0.240559203
267	0.2402864324
268	0.2399855521
269	0.2397776956
270	0.2395747904
271	0.2393253815
272	0.23907566
273	0.2389369914
274	0.2387627362
275	0.2385614452
276	0.2384001682
277	0.2382125035
278	0.2380194079
279	0.2375815562
280	0.2373593707
281	0.237229863
282	0.237029858
283	0.2368303394
284	0.2366783959
285	0.2364821489
286	0.2362468309
287	0.2360907147
288	0.2357858907
289	0.2356190586
290	0.2354358377
291	0.235336135
292	0.2352361386
293	0.2350227105
294	0.2348438664
295	0.2345669791
296	0.2344716633
297	0.2343339036
298	0.2340974325
299	0.2339070707
300	0.2337912759
301	0.2336669975
302	0.2334841824
303	0.2332316722
304	0.2330511559
305	0.2328741824
306	0.2327378566
307	0.232650895
308	0.2324760751
309	0.2321006748
310	0.2319979619
311	0.2318645168
312	0.2316946733
313	0.2315135772
314	0.2311819083
315	0.2310107348
316	0.2308456801
317	0.2306549408
318	0.2305501907
319	0.2303135313
320	0.2301824309
321	0.2300746412
322	0.2299389834
323	0.2297475502
324	0.2294494426
325	0.2293371874
326	0.2290234219
327	0.2288447192
328	0.2287135534
329	0.2284301875
330	0.2283664397
331	0.2282353103
332	0.2280899426
333	0.2279069702
334	0.2275958489
335	0.2274134145
336	0.2272737742
337	0.2271275581
338	0.2270328981
339	0.2269593261
340	0.2269089765
341	0.2268520552
342	0.2267327368
343	0.2264735639
344	0.2263845954
345	0.2262660673
346	0.2261704801
347	0.2260953319
348	0.2259586249
349	0.2258269438
350	0.2257075749
351	0.225588478
352	0.2253474893
353	0.2252006748
354	0.2250232961
355	0.2248825879
356	0.2245998634
357	0.2244353409
358	0.2243279323
359	0.2242170691
360	0.2240927537
361	0.2239251687
362	0.2237671551
363	0.2236127228
364	0.223458484
365	0.2232668701
366	0.2230687033
367	0.2227499303
368	0.2224969196
369	0.2223530676
370	0.2221593061
371	0.2220995868
372	0.2220351058
373	0.2217651694
374	0.221590162
375	0.221545858
376	0.2213118143
377	0.2210833068
378	0.2209371247
379	0.2207357333
380	0.2205775566
381	0.2204194237
382	0.2203015215
383	0.2200938466
384	0.2199627581
385	0.2198603039
386	0.2197026629
387	0.2194649901
388	0.2192595393
389	0.2190734039
390	0.2189779443
391	0.2188244983
392	0.2184997814
393	0.2184219524
394	0.2183118108
395	0.2182337956
396	0.2180897466
397	0.2178165195
398	0.2176105238
399	0.217487188
400	0.2173469574
401	0.2172572528
402	0.2169989549
403	0.2168146685
404	0.2167277898
405	0.2166117556
406	0.2164625813
407	0.216262855
408	0.2160708881
409	0.2159337679
410	0.2157566488
411	0.2155952969
412	0.2154902752
413	0.2153330894
414	0.2152440441
415	0.2150997352
416	0.214976312
417	0.2148848709
418	0.2146570666
419	0.2145875525
420	0.2144826268
421	0.2144527194
422	0.2143557468
423	0.2142431336
424	0.2140390406
425	0.2138603159
426	0.2136679912
427	0.2136286306
428	0.2134175359
